client_id,variation,variation_clean,is_test
459221,test,test,True
3430793,test,test,True
4853470,test,test,True
8696517,control,control,False
5751565,test,test,True
3968370,control,control,False
1718250,test,test,True
6058534,test,test,True
6597561,control,control,False
6098661,test,test,True
8861365,test,test,True
2346575,test,test,True
7973780,control,control,False
5119497,control,control,False
2532775,test,test,True
3155140,control,control,False
924852,test,test,True
8330343,test,test,True
8607482,test,test,True
4827059,control,control,False
4785260,test,test,True
4778491,test,test,True
7200160,test,test,True
304982,control,control,False
7177069,test,test,True
9059531,control,control,False
3130496,test,test,True
7705990,test,test,True
133101,control,control,False
2790745,test,test,True
2498676,test,test,True
8988721,control,control,False
6224299,control,control,False
3217890,control,control,False
9403921,control,control,False
2356366,control,control,False
453167,control,control,False
372523,control,control,False
2611324,test,test,True
8766886,test,test,True
3106431,test,test,True
5615453,test,test,True
7087847,control,control,False
8760103,test,test,True
5786954,test,test,True
3175977,test,test,True
5124813,test,test,True
7221996,test,test,True
7422759,control,control,False
8609229,test,test,True
9176963,test,test,True
589292,test,test,True
5417457,control,control,False
863704,control,control,False
117276,test,test,True
7441896,control,control,False
7763445,test,test,True
7359292,test,test,True
4101033,control,control,False
1180583,control,control,False
246429,test,test,True
395074,test,test,True
6006542,test,test,True
1424799,test,test,True
4251309,test,test,True
5026927,test,test,True
8512093,test,test,True
8959766,test,test,True
413157,control,control,False
7448926,control,control,False
806192,test,test,True
1542033,test,test,True
3432043,test,test,True
1406408,test,test,True
4694039,test,test,True
2155192,test,test,True
2657900,control,control,False
4514754,control,control,False
1673947,control,control,False
4961256,test,test,True
3413971,control,control,False
2323637,test,test,True
1209140,test,test,True
85097,control,control,False
2262795,control,control,False
4501407,test,test,True
5593703,test,test,True
1461831,test,test,True
5867403,test,test,True
8825647,control,control,False
2314843,test,test,True
219207,test,test,True
3535465,test,test,True
4878070,test,test,True
7337058,control,control,False
3498908,control,control,False
77276,test,test,True
4630285,control,control,False
5667617,test,test,True
8184247,control,control,False
7787684,control,control,False
4247007,control,control,False
7644707,test,test,True
8620721,control,control,False
1818956,control,control,False
2211868,control,control,False
5437254,test,test,True
3584819,control,control,False
6303538,control,control,False
897477,control,control,False
8003648,control,control,False
5456658,control,control,False
3846126,test,test,True
5673767,test,test,True
2558586,test,test,True
4008787,test,test,True
6917138,test,test,True
2333006,control,control,False
9067031,test,test,True
7761694,test,test,True
2043345,test,test,True
4209246,test,test,True
5238758,test,test,True
1373405,test,test,True
8277940,control,control,False
2735635,test,test,True
5567038,test,test,True
4239711,control,control,False
9635244,control,control,False
2798211,test,test,True
2915635,test,test,True
947738,test,test,True
3444839,test,test,True
9797297,control,control,False
5176958,control,control,False
759780,test,test,True
4985317,test,test,True
3910595,test,test,True
6688350,test,test,True
6405208,test,test,True
2986194,test,test,True
1651697,control,control,False
6503101,test,test,True
9103724,control,control,False
2561883,test,test,True
7873226,control,control,False
9922958,test,test,True
323950,control,control,False
932489,test,test,True
6781849,control,control,False
467861,test,test,True
7430424,control,control,False
7458004,control,control,False
8753284,test,test,True
9052277,test,test,True
1428836,test,test,True
2480352,test,test,True
5896556,control,control,False
3716868,test,test,True
993682,control,control,False
4036374,control,control,False
1330036,test,test,True
6325731,test,test,True
8750191,control,control,False
1720728,test,test,True
9004679,control,control,False
4342700,control,control,False
8723963,test,test,True
2458751,test,test,True
5203477,test,test,True
